"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Opening legs up for the weekend","Bike","","","","2018-02-23","","32231.779296875","226","669","764.408","","0.940555555555556","9.51900005340576","","91","","136","164","","","0.875183996454798","71.56","2","40","15","0","0","","","","","","4","17","25","8","2","2","","","","","",""
"Running","Run","","","","2018-02-24","","9982.7998046875","","","","","0.79169499874115","3.50300002098084","","77","","110","155","","","0.955392719268623","79.61","19","7","0","0","0","0","0","","","","","","","","","","","","","","",""
"Zwift - Watopia","Bike","","","","2018-02-25","","43499.25","218","427","1113.865","","1.42194444444444","8.49699974060059","","89","","142","172","","","0.86702111768634","106.15","7","22","46","11","0","","","","","","11","33","16","15","5","5","","","","","",""
"Running","Run","","","","2018-02-25","","3238.5400390625","","","","","0.237097501754761","3.79399991035461","","78","","","","","","1.05754461353054","28.28","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2018-02-27","","1828.80004882813","","","","","0.424084446695116","1.19527540014282","","24","","","","","","1.04800933033506","48.81","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2018-02-27","","8243.2001953125","","","","","0.706966102123261","3.23900008201599","","72","","","","","","0.90101166817041","63","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2018-02-28","","38692.46875","","","","","1.75274622440338","6.13199996948242","","","","95","150","","","0.553483955963448","110","64","37","4","0","0","","","","","","","","","","","","","","","","",""
"Volcano push","Bike","","","","2018-03-02","","32734.779296875","231","672","785.776","","0.94305557012558","9.64200019836426","","91","","143","173","","","0.943722584264423","83.12","5","14","29","10","0","","","","","","6","19","17","7","4","5","","","","","",""
"Jungle loop rip. Then go run...","Bike","","","","2018-03-03","","18843.51953125","255","442","464.675","","0.506111085414886","10.3420000076294","","92","","145","174","","","1.01702347208219","51.57","3","7","15","7","0","","","","","","4","6","7","6","3","6","","","","","",""
"Running","Run","","","","2018-03-03","","8082.93994140625","","","","","0.706502735614777","3.17799997329712","","76","","","","","","0.880620907337702","60.13","","","","","","","","","","","","","","","","","","","","","",""
"Listening to Ryan Adams to ease up on the intensity","Bike","","","","2018-03-04","","52360.109375","225","464","1357.767","","1.67527782917023","8.68099975585938","","89","","141","174","","","0.90458356871056","136.61","5","43","40","14","0","","","","","","13","35","22","12","12","8","","","","","",""
"Running","Run","","","","2018-03-04","","4844.02001953125","","","","","0.452626377344131","2.97300004959106","","70","","","","","","0.798897342364203","31.4","","","","","","","","","","","","","","","","","","","","","",""
"Zwifting in hotel shoebox sized room","Bike","","","","2018-03-06","","27701.5","225","459","722.422","","0.891666650772095","8.62899971008301","","88","","147","175","","","0.883868219512651","69.04","1","13","33","7","0","","","","","","6","17","16","8","4","3","","","","","",""
"Pre-run hotel ride","Bike","","","","2018-03-07","","25915.279296875","216","663","600.93","","0.772499978542328","9.31799983978271","","90","","130","163","","","0.866689846522734","57.37","5","31","12","1","0","","","","","","6","20","14","4","2","2","","","","","",""
"Running","Run","","","","2018-03-07","","4452.990234375","","","","","0.343616098165512","3.59999990463257","","78","","","","","","0.988868464066971","36.24","","","","","","","","","","","","","","","","","","","","","",""
"Sweat booze out from last night's 80s dance party","Bike","","","","2018-03-09","","19453.44921875","202","595","432.654","","0.595277786254883","9.07699966430664","","90","","129","164","","","0.791111287682322","36.69","6","25","7","0","0","","","","","","6","19","8","3","1","1","","","","","",""
"3 x 1/2 mile hills","Run","","","","2018-03-12","","7573.84753465652","","","","","0.665833333333333","3.15971945542617","","","","","","","","1.09738849256654","87.93","","","","","","","","","","","","","","","","","","","","","",""
"2200yds:","Swim","","","","2018-03-13","","1828.79999722022","","","","","0.433333333333333","1.17230769052578","","","","","","","","1.02564102564103","46.75","","","","","","","","","","","","","","","","","","","","","",""
"Zwift - The McCarthy Special as WU","Bike","","","","2018-03-13","","9813.76953125","216","361","212.601","","0.273055553436279","9.98299980163574","","91","","126","158","","","0.955097741567415","24.21","7","4","6","0","0","","","","","","5","4","1","0","4","2","","","","","",""
"Nukin' half Epic Climb w Action Jackson","Bike","","","","2018-03-13","","22611.599609375","246","451","615.95","","0.694722235202789","9.04100036621094","","88","","159","179","","","0.998149197838764","68.29","0","1","17","25","0","","","","","","7","7","8","7","6","8","","","","","",""
"Spin the sinuses out","Bike","","","","2018-03-15","","21289.970703125","191","559","601.098","","0.876161336898804","6.74900007247925","","68","","64","132","","","0.889322991112571","52.43","43","12","0","0","0","","","","","","24","15","4","3","4","5","","","","","",""
"Showing Ed the Zwift experience","Bike","","","","2018-03-15","","3977.23999023438","174","739","93.066","","0.149046942591667","7.41200017929077","","73","","0","0","","","0.912902469168896","10.37","","","","","","","","","","","12","2","1","0","0","1","","","","","",""
